,index,opentripmap_ID,geo_ID,match
0,207,opentripmap_id_41496,geonames_id_1437463,0.0
1,346,opentripmap_id_130039,geonames_id_124978,0.0
2,347,opentripmap_id_89128,geonames_id_1269297,0.0
3,263,opentripmap_id_34107,geonames_id_1969321,0.0
4,397,opentripmap_id_101876,geonames_id_546189,1.0
5,343,opentripmap_id_117132,geonames_id_1144199,0.0
6,405,opentripmap_id_126555,geonames_id_548925,1.0
7,365,opentripmap_id_45210,geonames_id_1329730,0.0
8,279,opentripmap_id_98944,geonames_id_348876,0.0
9,242,opentripmap_id_17214,geonames_id_813506,0.0
10,311,opentripmap_id_45908,geonames_id_371099,0.0
11,133,opentripmap_id_69299,geonames_id_542654,1.0
12,302,opentripmap_id_49269,geonames_id_47769,0.0
13,61,opentripmap_id_21972,geonames_id_662383,1.0
14,280,opentripmap_id_32776,geonames_id_911871,0.0
15,436,opentripmap_id_31320,geonames_id_660587,0.0
16,255,opentripmap_id_10880,geonames_id_2257067,0.0
17,199,opentripmap_id_107770,geonames_id_1456710,0.0
18,317,opentripmap_id_47959,geonames_id_1177412,0.0
19,160,opentripmap_id_121682,geonames_id_548081,1.0
20,301,opentripmap_id_35604,geonames_id_308102,0.0
21,239,opentripmap_id_36143,geonames_id_2520836,0.0
22,89,opentripmap_id_97219,geonames_id_535793,1.0
23,451,opentripmap_id_19116,geonames_id_877558,0.0
24,55,opentripmap_id_31370,geonames_id_1169051,1.0
25,145,opentripmap_id_115388,geonames_id_343439,1.0
26,111,opentripmap_id_23332,geonames_id_1410210,1.0
27,20,opentripmap_id_16554,geonames_id_2617395,1.0
28,350,opentripmap_id_110808,geonames_id_732351,0.0
29,351,opentripmap_id_87307,geonames_id_1929722,0.0
30,124,opentripmap_id_120680,geonames_id_45935,1.0
31,220,opentripmap_id_127334,geonames_id_1490092,0.0
32,458,opentripmap_id_49518,geonames_id_340619,1.0
33,448,opentripmap_id_119493,geonames_id_547922,1.0
34,304,opentripmap_id_43184,geonames_id_1863465,0.0
35,356,opentripmap_id_60350,geonames_id_766441,0.0
36,229,opentripmap_id_20894,geonames_id_2498371,0.0
37,7,opentripmap_id_119291,geonames_id_397487,1.0
38,6,opentripmap_id_78295,geonames_id_2626551,1.0
39,103,opentripmap_id_44035,geonames_id_874758,1.0
40,388,opentripmap_id_123555,geonames_id_45428,1.0
41,2,opentripmap_id_78671,geonames_id_239015,1.0
42,46,opentripmap_id_38316,geonames_id_536970,1.0
43,155,opentripmap_id_22265,geonames_id_338220,1.0
44,422,opentripmap_id_91406,geonames_id_549143,1.0
45,241,opentripmap_id_78721,geonames_id_2338427,0.0
46,385,opentripmap_id_95812,geonames_id_2303656,0.0
47,266,opentripmap_id_120816,geonames_id_1764698,0.0
48,240,opentripmap_id_111250,geonames_id_951513,0.0
49,291,opentripmap_id_21400,geonames_id_1672368,0.0
50,165,opentripmap_id_34840,geonames_id_636324,1.0
51,5,opentripmap_id_284,geonames_id_859179,1.0
52,223,opentripmap_id_78603,geonames_id_1567401,0.0
53,407,opentripmap_id_108806,geonames_id_544203,1.0
54,446,opentripmap_id_88314,geonames_id_1220741,1.0
55,94,opentripmap_id_8590,geonames_id_1403324,1.0
56,339,opentripmap_id_101813,geonames_id_2626268,0.0
57,429,opentripmap_id_2492,geonames_id_1168714,1.0
58,479,opentripmap_id_12384,geonames_id_1230260,0.0
59,78,opentripmap_id_42280,geonames_id_664735,1.0
60,284,opentripmap_id_5240,geonames_id_1698015,0.0
61,440,opentripmap_id_33954,geonames_id_544031,0.0
62,329,opentripmap_id_14255,geonames_id_67885,0.0
63,372,opentripmap_id_85535,geonames_id_2224651,0.0
64,192,opentripmap_id_31522,geonames_id_1148313,0.0
65,419,opentripmap_id_122331,geonames_id_54384,0.0
66,218,opentripmap_id_84076,geonames_id_1251571,0.0
67,498,opentripmap_id_5155,geonames_id_499703,0.0
68,194,opentripmap_id_45430,geonames_id_965999,0.0
69,22,opentripmap_id_103657,geonames_id_495584,1.0
70,8,opentripmap_id_7436,geonames_id_555538,1.0
71,230,opentripmap_id_24399,geonames_id_1781049,0.0
72,439,opentripmap_id_130581,geonames_id_2617808,1.0
73,177,opentripmap_id_32439,geonames_id_535694,1.0
74,35,opentripmap_id_65901,geonames_id_1016821,1.0
75,297,opentripmap_id_83850,geonames_id_1947588,0.0
76,477,opentripmap_id_8942,geonames_id_2141321,0.0
77,170,opentripmap_id_122291,geonames_id_533241,1.0
78,259,opentripmap_id_34765,geonames_id_1746116,0.0
79,156,opentripmap_id_107515,geonames_id_306623,1.0
80,376,opentripmap_id_127674,geonames_id_2429645,0.0
81,402,opentripmap_id_40648,geonames_id_1223208,1.0
82,125,opentripmap_id_89060,geonames_id_1214564,1.0
83,29,opentripmap_id_16019,geonames_id_532479,1.0
84,17,opentripmap_id_8865,geonames_id_2622613,1.0
85,460,opentripmap_id_50379,geonames_id_2622330,1.0
86,293,opentripmap_id_5359,geonames_id_742857,0.0
87,413,opentripmap_id_120107,geonames_id_532709,1.0
88,463,opentripmap_id_8702,geonames_id_2613731,0.0
89,169,opentripmap_id_73306,geonames_id_1091338,1.0
90,428,opentripmap_id_105617,geonames_id_520040,1.0
91,401,opentripmap_id_37984,geonames_id_85210,1.0
92,432,opentripmap_id_98311,geonames_id_899539,1.0
93,83,opentripmap_id_46171,geonames_id_1411326,1.0
94,411,opentripmap_id_94398,geonames_id_545400,1.0
95,16,opentripmap_id_10236,geonames_id_2110044,1.0
96,363,opentripmap_id_9467,geonames_id_1977983,0.0
97,144,opentripmap_id_86364,geonames_id_2626469,1.0
98,253,opentripmap_id_115223,geonames_id_2065697,0.0
99,323,opentripmap_id_116162,geonames_id_2398543,0.0
100,418,opentripmap_id_119150,geonames_id_545403,1.0
101,364,opentripmap_id_119071,geonames_id_69936,0.0
102,382,opentripmap_id_56818,geonames_id_2312336,0.0
103,42,opentripmap_id_65,geonames_id_890965,1.0
104,476,opentripmap_id_108891,geonames_id_536570,0.0
105,193,opentripmap_id_52922,geonames_id_662148,0.0
106,131,opentripmap_id_18960,geonames_id_178200,1.0
107,209,opentripmap_id_117313,geonames_id_1442636,0.0
108,53,opentripmap_id_27912,geonames_id_1167816,1.0
109,274,opentripmap_id_77982,geonames_id_1163752,0.0
110,264,opentripmap_id_117789,geonames_id_22443,0.0
111,99,opentripmap_id_25825,geonames_id_2139543,1.0
112,0,opentripmap_id_55670,geonames_id_890970,1.0
113,10,opentripmap_id_120516,geonames_id_554506,1.0
114,197,opentripmap_id_40662,geonames_id_593886,0.0
115,168,opentripmap_id_7833,geonames_id_1410440,1.0
116,377,opentripmap_id_44828,geonames_id_1203566,0.0
117,107,opentripmap_id_122740,geonames_id_2111219,1.0
118,258,opentripmap_id_120530,geonames_id_302439,0.0
119,212,opentripmap_id_47880,geonames_id_2041593,0.0
120,335,opentripmap_id_95191,geonames_id_953620,0.0
121,395,opentripmap_id_109140,geonames_id_544146,1.0
122,484,opentripmap_id_32499,geonames_id_2429781,0.0
123,130,opentripmap_id_85,geonames_id_897739,1.0
124,201,opentripmap_id_13970,geonames_id_2468173,0.0
125,92,opentripmap_id_27738,geonames_id_1168720,1.0
126,143,opentripmap_id_46419,geonames_id_2111529,1.0
127,243,opentripmap_id_20320,geonames_id_1660378,0.0
128,386,opentripmap_id_50457,geonames_id_2549793,0.0
