wikidata_id_40443,geonames_id_2622404,True
wikidata_id_19301,geonames_id_939573,True
wikidata_id_10244,geonames_id_1002033,True
wikidata_id_43258,geonames_id_536590,True
wikidata_id_25909,geonames_id_1233671,True
wikidata_id_15185,geonames_id_1410002,True
wikidata_id_23236,geonames_id_1015534,True
wikidata_id_10507,geonames_id_546812,True
wikidata_id_19474,geonames_id_1091375,True
wikidata_id_41899,geonames_id_533238,True
wikidata_id_10221,geonames_id_96134,True
wikidata_id_17719,geonames_id_535429,True
wikidata_id_42411,geonames_id_944383,True
wikidata_id_11281,geonames_id_546801,True
wikidata_id_35968,geonames_id_963827,True
wikidata_id_40290,geonames_id_944397,True
wikidata_id_39894,geonames_id_957717,True
wikidata_id_41201,geonames_id_174948,True
wikidata_id_43003,geonames_id_1413346,True
wikidata_id_39592,geonames_id_531384,True
wikidata_id_20129,geonames_id_956162,True
wikidata_id_40452,geonames_id_955999,True
wikidata_id_43512,geonames_id_876385,True
wikidata_id_39562,geonames_id_1064145,True
wikidata_id_24432,geonames_id_2111528,True
wikidata_id_39904,geonames_id_933079,True
wikidata_id_20139,geonames_id_963974,True
wikidata_id_16368,geonames_id_660630,True
wikidata_id_15334,geonames_id_1219176,True
wikidata_id_19586,geonames_id_2110457,True
wikidata_id_12877,geonames_id_1170412,True
wikidata_id_28194,geonames_id_1239746,True
wikidata_id_11896,geonames_id_1091521,True
wikidata_id_12486,geonames_id_906028,True
wikidata_id_41882,geonames_id_570394,True
wikidata_id_19664,geonames_id_956207,True
wikidata_id_12709,geonames_id_644497,True
wikidata_id_13014,geonames_id_545125,True
wikidata_id_10522,geonames_id_531274,True
wikidata_id_42404,geonames_id_85223,True
wikidata_id_12907,geonames_id_1087883,True
wikidata_id_40059,geonames_id_555422,True
wikidata_id_19878,geonames_id_943507,True
wikidata_id_43203,geonames_id_543588,True
wikidata_id_41277,geonames_id_337558,True
wikidata_id_40705,geonames_id_2624647,True
wikidata_id_10573,geonames_id_543252,True
wikidata_id_19644,geonames_id_2139580,True
wikidata_id_37864,geonames_id_1235761,True
wikidata_id_35447,geonames_id_1220255,True
wikidata_id_36032,geonames_id_1233605,True
wikidata_id_36038,geonames_id_1232247,True
wikidata_id_36263,geonames_id_1229543,True
wikidata_id_36286,geonames_id_1233604,True
