,id_wikidata,id_geonames,match
0,wikidata_id_13946,geonames_id_540772,1
1,wikidata_id_12709,geonames_id_644497,1
2,wikidata_id_21359,geonames_id_2112860,1
3,wikidata_id_40040,geonames_id_1167421,1
4,wikidata_id_41277,geonames_id_337558,1
5,wikidata_id_34104,geonames_id_1236738,1
6,wikidata_id_35272,geonames_id_969180,1
7,wikidata_id_28797,geonames_id_2114292,1
8,wikidata_id_22198,geonames_id_943501,1
9,wikidata_id_11952,geonames_id_535607,1
10,wikidata_id_10244,geonames_id_1002033,1
11,wikidata_id_34722,geonames_id_337450,1
12,wikidata_id_16150,geonames_id_670455,1
13,wikidata_id_11862,geonames_id_1395632,1
14,wikidata_id_19387,geonames_id_1168693,1
15,wikidata_id_42015,geonames_id_661194,1
16,wikidata_id_28804,geonames_id_1235484,1
17,wikidata_id_42122,geonames_id_1410494,1
18,wikidata_id_26461,geonames_id_1225719,1
19,wikidata_id_18881,geonames_id_962868,1
20,wikidata_id_24688,geonames_id_660647,1
21,wikidata_id_13427,geonames_id_548936,1
22,wikidata_id_41122,geonames_id_531109,1
23,wikidata_id_17998,geonames_id_1224234,1
24,wikidata_id_44046,geonames_id_1219197,1
25,wikidata_id_40286,geonames_id_1169305,1
26,wikidata_id_25861,geonames_id_76996,1
27,wikidata_id_23124,geonames_id_664349,1
28,wikidata_id_43966,geonames_id_2624330,1
29,wikidata_id_22402,geonames_id_548407,1
30,wikidata_id_26563,geonames_id_1229538,1
31,wikidata_id_14033,geonames_id_531251,1
32,wikidata_id_40548,geonames_id_958108,1
33,wikidata_id_39471,geonames_id_940048,1
34,wikidata_id_12733,geonames_id_2110462,1
35,wikidata_id_22993,geonames_id_661296,1
36,wikidata_id_39589,geonames_id_956368,1
37,wikidata_id_14300,geonames_id_935946,1
38,wikidata_id_36715,geonames_id_2112978,1
39,wikidata_id_42938,geonames_id_442989,1
40,wikidata_id_39594,geonames_id_534933,1
41,wikidata_id_10081,geonames_id_2593180,1
42,wikidata_id_11547,geonames_id_555097,1
43,wikidata_id_34906,geonames_id_1398048,1
44,wikidata_id_21345,geonames_id_660813,1
45,wikidata_id_39587,geonames_id_914720,1
46,wikidata_id_41100,geonames_id_957182,1
47,wikidata_id_39891,geonames_id_876136,1
48,wikidata_id_21048,geonames_id_644598,1
49,wikidata_id_19884,geonames_id_554926,1
50,wikidata_id_16392,geonames_id_1411982,1
51,wikidata_id_22085,geonames_id_2622476,1
52,wikidata_id_11960,geonames_id_539310,1
53,wikidata_id_12637,geonames_id_535103,1
54,wikidata_id_10015,geonames_id_1127939,1
55,wikidata_id_11912,geonames_id_1169456,1
56,wikidata_id_27580,geonames_id_901688,1
57,wikidata_id_23115,geonames_id_939588,1
58,wikidata_id_27122,geonames_id_2114706,1
59,wikidata_id_16060,geonames_id_1235787,1
60,wikidata_id_15065,geonames_id_1410420,1
61,wikidata_id_11136,geonames_id_532428,1
62,wikidata_id_21067,geonames_id_1226624,1
63,wikidata_id_37446,geonames_id_667197,1
64,wikidata_id_25327,geonames_id_1015330,1
65,wikidata_id_10934,geonames_id_546802,1
